date,median_price,volume_sold,item,weapon,skin,wear,stattrak
Feb 21 2014,398.025,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Feb 22 2014,328.283,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Feb 24 2014,396.14,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Feb 28 2014,400.0,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 01 2014,381.068,3,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 06 2014,352.539,4,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 10 2014,398.087,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 11 2014,346.69,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 13 2014,364.249,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 15 2014,389.07,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 18 2014,358.515,3,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 19 2014,319.5,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 20 2014,418.842,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 22 2014,317.266,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 23 2014,379.34,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 24 2014,380.72,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 27 2014,316.301,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 29 2014,340.095,4,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Mar 31 2014,403.694,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 01 2014,241.884,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 02 2014,344.49,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 03 2014,280.71,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 05 2014,346.1,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 06 2014,349.26,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 07 2014,335.588,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 08 2014,285.43,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 09 2014,343.703,3,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 11 2014,376.311,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 12 2014,414.687,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 14 2014,395.006,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 15 2014,366.476,5,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 17 2014,348.759,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 19 2014,366.51,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 20 2014,367.99,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 21 2014,365.493,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 22 2014,400.189,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 24 2014,349.17,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 25 2014,299.388,1,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 27 2014,376.578,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 28 2014,382.06,2,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
Apr 29 2014,297.367,3,AK-47 | Redline,AK-47,Redline,Minimal Wear,1
