,date,median_price,volume_sold
0,Feb 21 2014,41.405,198
1,Feb 22 2014,35.08,225
2,Feb 23 2014,33.149,183
3,Feb 24 2014,36.266,128
4,Feb 25 2014,40.936,90
5,Feb 26 2014,41.973,90
6,Feb 27 2014,42.482,75
7,Feb 28 2014,42.854,123
8,Mar 01 2014,31.551,238
9,Mar 02 2014,29.886,202
10,Mar 03 2014,28.995,195
11,Mar 04 2014,30.949,135
12,Mar 05 2014,30.728,150
13,Mar 06 2014,32.941,122
14,Mar 07 2014,33.226,174
15,Mar 08 2014,30.973,210
16,Mar 09 2014,29.365,231
17,Mar 10 2014,28.222,223
18,Mar 11 2014,30.773,181
19,Mar 12 2014,30.072,195
20,Mar 13 2014,30.781,120
21,Mar 14 2014,34.829,149
22,Mar 15 2014,32.178,274
23,Mar 16 2014,30.699,252
24,Mar 17 2014,30.875,203
25,Mar 18 2014,31.23,183
26,Mar 19 2014,29.834,222
27,Mar 20 2014,29.674,194
28,Mar 21 2014,31.046,189
29,Mar 22 2014,30.299,263
30,Mar 23 2014,28.896,269
31,Mar 24 2014,29.315,251
32,Mar 25 2014,30.521,222
33,Mar 26 2014,29.847,234
34,Mar 27 2014,29.785,245
35,Mar 28 2014,29.458,268
36,Mar 29 2014,29.292,332
37,Mar 30 2014,28.807,328
38,Mar 31 2014,29.004,324
39,Apr 01 2014,30.781,208
40,Apr 02 2014,28.88,274
41,Apr 03 2014,28.633,267
42,Apr 04 2014,27.981,341
43,Apr 05 2014,28.387,297
44,Apr 06 2014,27.944,335
45,Apr 07 2014,28.356,339
46,Apr 08 2014,27.79,325
47,Apr 09 2014,28.546,309
48,Apr 10 2014,28.802,315
49,Apr 11 2014,28.614,399
50,Apr 12 2014,28.8,346
51,Apr 13 2014,28.371,373
52,Apr 14 2014,28.024,349
53,Apr 15 2014,27.616,378
54,Apr 16 2014,26.728,407
55,Apr 17 2014,27.1,394
56,Apr 18 2014,26.68,376
57,Apr 19 2014,26.799,430
58,Apr 20 2014,26.261,443
59,Apr 21 2014,25.694,439
60,Apr 22 2014,26.461,431
61,Apr 23 2014,26.094,354
62,Apr 24 2014,26.175,419
63,Apr 25 2014,26.808,429
64,Apr 26 2014,26.881,449
65,Apr 27 2014,26.02,457
66,Apr 28 2014,25.298,482
67,Apr 29 2014,26.145,455
68,Apr 30 2014,26.2,517
69,May 01 2014,25.846,506
70,May 02 2014,22.423,731
71,May 03 2014,21.986,634
72,May 04 2014,21.602,727
73,May 05 2014,20.89,684
74,May 06 2014,20.738,596
75,May 07 2014,21.974,616
76,May 08 2014,22.064,604
77,May 09 2014,19.073,685
78,May 10 2014,18.101,706
79,May 11 2014,15.983,691
80,May 12 2014,15.727,565
81,May 13 2014,16.518,556
82,May 14 2014,16.805,528
83,May 15 2014,15.748,711
84,May 16 2014,15.579,752
85,May 17 2014,15.351,714
86,May 18 2014,15.007,660
87,May 19 2014,14.751,646
88,May 20 2014,15.258,626
89,May 21 2014,15.343,668
90,May 22 2014,14.995,627
91,May 23 2014,14.697,770
92,May 24 2014,14.654,682
93,May 25 2014,14.17,643
94,May 26 2014,14.331,646
95,May 27 2014,14.407,585
96,May 28 2014,13.864,757
97,May 29 2014,13.666,653
98,May 30 2014,13.96,666
99,May 31 2014,13.672,685
100,Jun 01 2014,13.461,688
101,Jun 02 2014,12.874,767
102,Jun 03 2014,13.447,620
103,Jun 04 2014,13.434,668
104,Jun 05 2014,12.815,649
