date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 20 2014,2014-04-20,120.907,19,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 21 2014,2014-04-21,125.829,19,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 22 2014,2014-04-22,127.244,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 23 2014,2014-04-23,127.761,15,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 24 2014,2014-04-24,121.48,29,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 25 2014,2014-04-25,116.587,29,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 26 2014,2014-04-26,121.76,23,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 27 2014,2014-04-27,126.717,20,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 28 2014,2014-04-28,128.454,22,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 29 2014,2014-04-29,124.774,22,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Apr 30 2014,2014-04-30,126.249,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 01 2014,2014-05-01,129.086,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 02 2014,2014-05-02,106.192,38,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 03 2014,2014-05-03,100.786,42,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 04 2014,2014-05-04,105.23,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 05 2014,2014-05-05,95.334,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 06 2014,2014-05-06,90.746,27,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 07 2014,2014-05-07,95.52,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 08 2014,2014-05-08,94.541,32,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 09 2014,2014-05-09,91.757,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 10 2014,2014-05-10,86.36,35,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 11 2014,2014-05-11,80.798,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 12 2014,2014-05-12,77.393,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 13 2014,2014-05-13,78.009,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 14 2014,2014-05-14,78.926,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 15 2014,2014-05-15,86.662,32,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 16 2014,2014-05-16,81.995,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 17 2014,2014-05-17,81.796,29,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 18 2014,2014-05-18,76.075,32,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 19 2014,2014-05-19,83.306,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 20 2014,2014-05-20,76.305,33,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 21 2014,2014-05-21,77.414,32,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 22 2014,2014-05-22,77.26,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 23 2014,2014-05-23,75.685,35,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 24 2014,2014-05-24,77.469,33,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 25 2014,2014-05-25,76.824,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 26 2014,2014-05-26,76.878,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 27 2014,2014-05-27,73.19,25,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 28 2014,2014-05-28,75.136,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 29 2014,2014-05-29,77.878,33,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 30 2014,2014-05-30,79.611,27,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
May 31 2014,2014-05-31,73.872,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 01 2014,2014-06-01,74.233,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 02 2014,2014-06-02,74.057,28,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 03 2014,2014-06-03,75.683,31,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 04 2014,2014-06-04,74.778,26,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 05 2014,2014-06-05,74.082,35,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 06 2014,2014-06-06,70.817,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 07 2014,2014-06-07,68.004,38,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 08 2014,2014-06-08,67.09,37,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 09 2014,2014-06-09,64.53,30,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 10 2014,2014-06-10,64.702,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 11 2014,2014-06-11,63.845,36,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 12 2014,2014-06-12,67.249,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 13 2014,2014-06-13,68.251,29,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 14 2014,2014-06-14,65.686,36,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 15 2014,2014-06-15,64.845,44,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 16 2014,2014-06-16,67.772,52,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 17 2014,2014-06-17,69.606,37,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 18 2014,2014-06-18,70.928,40,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 19 2014,2014-06-19,69.361,49,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 20 2014,2014-06-20,65.102,33,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 21 2014,2014-06-21,67.016,46,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
Jun 22 2014,2014-06-22,64.973,34,AK-47 | Redline,AK-47,Redline,Field-Tested,1,1,0
