date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Mar 02 2015,2015-03-02,35.128,331,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 03 2015,2015-03-03,34.265,353,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 04 2015,2015-03-04,34.244,366,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 05 2015,2015-03-05,35.204,338,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 06 2015,2015-03-06,34.611,400,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 07 2015,2015-03-07,34.355,428,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 08 2015,2015-03-08,33.249,413,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 09 2015,2015-03-09,32.66,360,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 10 2015,2015-03-10,32.631,343,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 11 2015,2015-03-11,32.169,345,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 12 2015,2015-03-12,31.693,439,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 13 2015,2015-03-13,32.503,473,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 14 2015,2015-03-14,31.507,600,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 15 2015,2015-03-15,31.284,481,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 16 2015,2015-03-16,30.678,471,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 17 2015,2015-03-17,31.676,374,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 18 2015,2015-03-18,31.928,417,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 19 2015,2015-03-19,31.558,383,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 20 2015,2015-03-20,31.82,469,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Mar 21 2015,2015-03-21,31.737,534,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
