date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Jun 02 2017,2017-06-02,39.283,38,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 03 2017,2017-06-03,40.71,37,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 04 2017,2017-06-04,39.302,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 05 2017,2017-06-05,39.132,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 06 2017,2017-06-06,39.936,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 07 2017,2017-06-07,39.372,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 08 2017,2017-06-08,38.266,37,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 09 2017,2017-06-09,41.294,33,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 10 2017,2017-06-10,40.245,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 11 2017,2017-06-11,39.152,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 12 2017,2017-06-12,39.296,39,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 13 2017,2017-06-13,37.588,34,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 14 2017,2017-06-14,40.171,33,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 15 2017,2017-06-15,39.556,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 16 2017,2017-06-16,36.422,42,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 17 2017,2017-06-17,38.018,37,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 18 2017,2017-06-18,38.806,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 19 2017,2017-06-19,37.135,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 20 2017,2017-06-20,39.015,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 21 2017,2017-06-21,40.347,51,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 22 2017,2017-06-22,36.746,43,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 23 2017,2017-06-23,32.229,61,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 24 2017,2017-06-24,34.191,42,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 25 2017,2017-06-25,32.304,46,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 26 2017,2017-06-26,33.811,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 27 2017,2017-06-27,35.445,36,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 28 2017,2017-06-28,35.326,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 29 2017,2017-06-29,34.561,41,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jun 30 2017,2017-06-30,35.47,25,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 01 2017,2017-07-01,35.137,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 02 2017,2017-07-02,34.294,38,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 03 2017,2017-07-03,35.479,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 04 2017,2017-07-04,36.367,47,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 05 2017,2017-07-05,36.341,42,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 06 2017,2017-07-06,36.97,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 07 2017,2017-07-07,37.484,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 08 2017,2017-07-08,37.944,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 09 2017,2017-07-09,37.564,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 10 2017,2017-07-10,38.317,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 11 2017,2017-07-11,38.573,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 12 2017,2017-07-12,38.933,36,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 13 2017,2017-07-13,39.478,19,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 14 2017,2017-07-14,39.399,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 15 2017,2017-07-15,39.477,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 16 2017,2017-07-16,38.771,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 17 2017,2017-07-17,39.863,31,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 18 2017,2017-07-18,40.848,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 19 2017,2017-07-19,39.179,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 20 2017,2017-07-20,40.446,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 21 2017,2017-07-21,40.373,19,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 22 2017,2017-07-22,40.251,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 23 2017,2017-07-23,40.453,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 24 2017,2017-07-24,38.257,33,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 25 2017,2017-07-25,38.534,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 26 2017,2017-07-26,40.625,22,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 27 2017,2017-07-27,40.442,36,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 28 2017,2017-07-28,42.283,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 29 2017,2017-07-29,40.386,39,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 30 2017,2017-07-30,42.924,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jul 31 2017,2017-07-31,43.358,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 01 2017,2017-08-01,42.605,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 02 2017,2017-08-02,43.835,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 03 2017,2017-08-03,40.971,47,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 04 2017,2017-08-04,41.348,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 05 2017,2017-08-05,41.306,34,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 06 2017,2017-08-06,41.824,47,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 07 2017,2017-08-07,41.318,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 08 2017,2017-08-08,42.167,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 09 2017,2017-08-09,42.472,36,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 10 2017,2017-08-10,42.561,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 11 2017,2017-08-11,43.345,31,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 12 2017,2017-08-12,43.14,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 13 2017,2017-08-13,42.282,31,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 14 2017,2017-08-14,40.892,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 15 2017,2017-08-15,39.77,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 16 2017,2017-08-16,40.601,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 17 2017,2017-08-17,39.591,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 18 2017,2017-08-18,40.231,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 19 2017,2017-08-19,38.914,40,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 20 2017,2017-08-20,38.465,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 21 2017,2017-08-21,38.94,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 22 2017,2017-08-22,39.088,36,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 23 2017,2017-08-23,39.519,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 24 2017,2017-08-24,39.302,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 25 2017,2017-08-25,41.065,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 26 2017,2017-08-26,38.226,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 27 2017,2017-08-27,39.707,31,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 28 2017,2017-08-28,40.794,20,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 29 2017,2017-08-29,40.773,25,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 30 2017,2017-08-30,40.126,33,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Aug 31 2017,2017-08-31,41.816,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 01 2017,2017-09-01,41.697,25,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 02 2017,2017-09-02,43.039,41,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 03 2017,2017-09-03,42.123,33,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 04 2017,2017-09-04,41.633,25,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 05 2017,2017-09-05,42.242,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 06 2017,2017-09-06,44.396,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 07 2017,2017-09-07,43.517,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 08 2017,2017-09-08,43.4,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 09 2017,2017-09-09,42.738,33,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 10 2017,2017-09-10,44.166,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 11 2017,2017-09-11,42.515,31,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 12 2017,2017-09-12,44.018,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 13 2017,2017-09-13,43.584,16,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 14 2017,2017-09-14,41.377,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 15 2017,2017-09-15,41.674,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 16 2017,2017-09-16,41.201,37,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 17 2017,2017-09-17,40.289,31,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 18 2017,2017-09-18,41.103,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 19 2017,2017-09-19,42.245,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 20 2017,2017-09-20,43.867,19,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 21 2017,2017-09-21,41.168,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 22 2017,2017-09-22,40.579,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 23 2017,2017-09-23,42.011,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 24 2017,2017-09-24,39.475,31,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 25 2017,2017-09-25,41.169,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 26 2017,2017-09-26,40.189,14,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 27 2017,2017-09-27,41.329,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 28 2017,2017-09-28,39.329,25,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 29 2017,2017-09-29,40.731,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Sep 30 2017,2017-09-30,39.943,37,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 01 2017,2017-10-01,40.682,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 02 2017,2017-10-02,40.979,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 03 2017,2017-10-03,40.288,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 04 2017,2017-10-04,40.715,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 05 2017,2017-10-05,38.523,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 06 2017,2017-10-06,41.693,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 07 2017,2017-10-07,42.227,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 08 2017,2017-10-08,42.482,34,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 09 2017,2017-10-09,41.712,22,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 10 2017,2017-10-10,41.962,16,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 11 2017,2017-10-11,41.392,40,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 12 2017,2017-10-12,43.219,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 13 2017,2017-10-13,42.193,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 14 2017,2017-10-14,40.892,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 15 2017,2017-10-15,39.375,31,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 16 2017,2017-10-16,41.423,38,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 17 2017,2017-10-17,41.395,18,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 18 2017,2017-10-18,39.921,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 19 2017,2017-10-19,40.19,25,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 20 2017,2017-10-20,39.092,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 21 2017,2017-10-21,40.013,22,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 22 2017,2017-10-22,39.364,34,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 23 2017,2017-10-23,39.875,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 24 2017,2017-10-24,39.119,14,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 25 2017,2017-10-25,39.991,22,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 26 2017,2017-10-26,40.388,31,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 27 2017,2017-10-27,40.201,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 28 2017,2017-10-28,40.01,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 29 2017,2017-10-29,37.336,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 30 2017,2017-10-30,39.772,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Oct 31 2017,2017-10-31,39.579,25,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 01 2017,2017-11-01,40.126,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 02 2017,2017-11-02,39.621,19,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 03 2017,2017-11-03,37.06,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 04 2017,2017-11-04,37.395,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 05 2017,2017-11-05,37.585,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 06 2017,2017-11-06,38.375,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 07 2017,2017-11-07,37.475,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 08 2017,2017-11-08,38.216,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 09 2017,2017-11-09,37.167,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 10 2017,2017-11-10,37.86,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 11 2017,2017-11-11,38.533,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 12 2017,2017-11-12,38.444,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 13 2017,2017-11-13,37.957,16,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 14 2017,2017-11-14,37.898,19,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 15 2017,2017-11-15,38.335,18,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 16 2017,2017-11-16,38.43,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 17 2017,2017-11-17,39.021,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 18 2017,2017-11-18,37.823,33,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 19 2017,2017-11-19,39.006,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 20 2017,2017-11-20,38.05,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 21 2017,2017-11-21,39.128,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 22 2017,2017-11-22,39.677,13,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 23 2017,2017-11-23,35.235,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 24 2017,2017-11-24,34.059,34,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 25 2017,2017-11-25,35.901,34,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 26 2017,2017-11-26,35.745,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 27 2017,2017-11-27,34.471,19,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 28 2017,2017-11-28,35.326,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 29 2017,2017-11-29,36.027,25,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 30 2017,2017-11-30,37.021,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 01 2017,2017-12-01,38.163,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 02 2017,2017-12-02,37.445,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 03 2017,2017-12-03,39.059,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 04 2017,2017-12-04,39.108,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 05 2017,2017-12-05,38.237,23,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 06 2017,2017-12-06,38.968,27,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 07 2017,2017-12-07,38.707,14,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 08 2017,2017-12-08,38.101,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 09 2017,2017-12-09,40.58,30,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 10 2017,2017-12-10,40.698,13,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 11 2017,2017-12-11,39.05,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 12 2017,2017-12-12,39.862,34,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 13 2017,2017-12-13,43.16,20,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 14 2017,2017-12-14,41.393,16,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 15 2017,2017-12-15,42.048,18,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 16 2017,2017-12-16,40.553,22,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 17 2017,2017-12-17,39.538,22,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 18 2017,2017-12-18,39.665,19,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 19 2017,2017-12-19,40.248,18,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 20 2017,2017-12-20,40.725,21,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 21 2017,2017-12-21,40.423,39,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 22 2017,2017-12-22,38.931,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 23 2017,2017-12-23,39.275,35,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 24 2017,2017-12-24,39.404,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 25 2017,2017-12-25,42.179,33,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 26 2017,2017-12-26,43.166,29,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 27 2017,2017-12-27,43.758,32,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 28 2017,2017-12-28,45.138,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 29 2017,2017-12-29,43.841,28,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 30 2017,2017-12-30,43.516,22,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Dec 31 2017,2017-12-31,44.601,18,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 01 2018,2018-01-01,42.429,20,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 02 2018,2018-01-02,43.423,33,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 03 2018,2018-01-03,43.126,26,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 04 2018,2018-01-04,42.257,24,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Jan 05 2018,2018-01-05,47.825,42,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
