date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Oct 31 2015,2015-10-31,39.895,101,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 01 2015,2015-11-01,39.413,73,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 02 2015,2015-11-02,38.154,78,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 03 2015,2015-11-03,38.883,81,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 04 2015,2015-11-04,39.189,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 05 2015,2015-11-05,38.864,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 06 2015,2015-11-06,37.921,75,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 07 2015,2015-11-07,37.839,89,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 08 2015,2015-11-08,35.227,95,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 09 2015,2015-11-09,34.452,64,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 10 2015,2015-11-10,31.443,91,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 11 2015,2015-11-11,33.502,80,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 12 2015,2015-11-12,32.774,74,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 13 2015,2015-11-13,34.0,92,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 14 2015,2015-11-14,33.132,104,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 15 2015,2015-11-15,33.203,95,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 16 2015,2015-11-16,35.7,65,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Nov 17 2015,2015-11-17,36.287,52,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
