date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,59.994,,,,16.265053223336277,5.4677361233829505,17.526347413639584,83,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 13 2014,2014-11-13,54.572,3.8339329675934586,3.8339329675934595,3.8339329675934586,16.265053223336277,5.4677361233829505,17.526347413639584,50,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 14 2014,2014-11-14,50.715,4.661444232567126,5.3472607927656775,4.661444232567126,16.265053223336277,5.4677361233829505,17.526347413639584,43,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 15 2014,2014-11-15,43.758,6.827179230839044,7.960471264891858,6.827179230839044,16.265053223336277,5.4677361233829505,17.526347413639584,35,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 16 2014,2014-11-16,45.561,6.628154531994559,8.423126606332016,6.628154531994559,16.265053223336277,5.4677361233829505,17.526347413639584,26,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 17 2014,2014-11-17,46.74,6.1691176570613955,8.403277320012114,6.1691176570613955,16.265053223336277,5.4677361233829505,17.526347413639584,30,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 18 2014,2014-11-18,44.917,5.978081958685571,8.592195950778754,5.978081958685571,16.265053223336277,5.4677361233829505,17.526347413639584,17,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 19 2014,2014-11-19,39.249,6.608984312498945,9.5392408470447,6.608984312498945,16.265053223336277,5.4677361233829505,17.526347413639584,22,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 20 2014,2014-11-20,33.704,7.844056865621968,10.999630523993307,7.844056865621968,16.265053223336277,5.4677361233829505,17.526347413639584,30,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 21 2014,2014-11-21,33.407,8.487786101216267,11.91523521005539,8.487786101216267,16.265053223336277,5.4677361233829505,17.526347413639584,37,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 22 2014,2014-11-22,33.057,8.853225297236957,12.523525627744904,8.853225297236957,16.265053223336277,5.4677361233829505,17.526347413639584,34,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
Nov 23 2014,2014-11-23,35.839,8.775720073623937,12.602716680320928,8.775720073623937,16.265053223336277,5.4677361233829505,17.526347413639584,23,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,1,1,0
