date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Dec 25 2014,2014-12-25,16.672,7,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 26 2014,2014-12-26,15.382,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 27 2014,2014-12-27,14.67,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 28 2014,2014-12-28,16.312,8,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 29 2014,2014-12-29,13.868,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 30 2014,2014-12-30,14.31,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Dec 31 2014,2014-12-31,13.932,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 01 2015,2015-01-01,13.216,5,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 02 2015,2015-01-02,11.902,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 03 2015,2015-01-03,13.263,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 04 2015,2015-01-04,12.605,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 05 2015,2015-01-05,13.333,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 06 2015,2015-01-06,13.44,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 07 2015,2015-01-07,12.769,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 08 2015,2015-01-08,12.735,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 09 2015,2015-01-09,10.694,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 10 2015,2015-01-10,11.916,27,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 11 2015,2015-01-11,11.984,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 12 2015,2015-01-12,10.665,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 13 2015,2015-01-13,10.195,26,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 14 2015,2015-01-14,11.191,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 15 2015,2015-01-15,10.505,24,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 16 2015,2015-01-16,10.613,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 17 2015,2015-01-17,10.007,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 18 2015,2015-01-18,10.823,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 19 2015,2015-01-19,10.166,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 20 2015,2015-01-20,10.282,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 21 2015,2015-01-21,11.023,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 22 2015,2015-01-22,10.028,10,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 23 2015,2015-01-23,10.546,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 24 2015,2015-01-24,10.185,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 25 2015,2015-01-25,9.286,18,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 26 2015,2015-01-26,9.128,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 27 2015,2015-01-27,8.534,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 28 2015,2015-01-28,9.356,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 29 2015,2015-01-29,9.202,13,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 30 2015,2015-01-30,9.723,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Jan 31 2015,2015-01-31,9.558,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 01 2015,2015-02-01,8.901,15,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 02 2015,2015-02-02,8.587,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 03 2015,2015-02-03,9.154,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 04 2015,2015-02-04,8.015,20,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 05 2015,2015-02-05,8.415,22,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 06 2015,2015-02-06,8.441,23,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 07 2015,2015-02-07,8.684,21,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 08 2015,2015-02-08,8.397,16,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 09 2015,2015-02-09,7.959,19,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 10 2015,2015-02-10,8.824,14,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 11 2015,2015-02-11,9.165,8,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 12 2015,2015-02-12,8.032,12,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 13 2015,2015-02-13,8.239,17,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 14 2015,2015-02-14,8.333,25,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 15 2015,2015-02-15,8.111,23,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 16 2015,2015-02-16,7.844,28,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 17 2015,2015-02-17,8.277,11,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
Feb 18 2015,2015-02-18,8.063,16,M4A4 | Griffin,M4A4,Griffin,Well-Worn,1,1,0
