date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Dec 30 2014,2014-12-30,18.514,112,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Dec 31 2014,2014-12-31,17.132,93,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 01 2015,2015-01-01,16.349,113,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 02 2015,2015-01-02,15.548,144,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 03 2015,2015-01-03,15.78,124,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 04 2015,2015-01-04,15.159,143,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 05 2015,2015-01-05,15.716,125,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 06 2015,2015-01-06,15.47,137,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 07 2015,2015-01-07,17.069,95,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 08 2015,2015-01-08,17.721,95,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 09 2015,2015-01-09,14.644,155,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 10 2015,2015-01-10,14.306,158,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 11 2015,2015-01-11,12.966,176,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 12 2015,2015-01-12,12.72,148,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 13 2015,2015-01-13,13.971,135,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 14 2015,2015-01-14,13.695,131,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 15 2015,2015-01-15,13.075,124,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 16 2015,2015-01-16,12.897,143,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 17 2015,2015-01-17,12.492,147,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 18 2015,2015-01-18,12.069,167,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 19 2015,2015-01-19,12.669,144,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 20 2015,2015-01-20,12.72,137,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 21 2015,2015-01-21,12.407,118,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 22 2015,2015-01-22,12.193,129,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 23 2015,2015-01-23,11.948,138,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 24 2015,2015-01-24,12.034,148,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 25 2015,2015-01-25,11.331,162,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 26 2015,2015-01-26,10.89,148,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 27 2015,2015-01-27,10.91,141,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 28 2015,2015-01-28,11.255,113,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 29 2015,2015-01-29,10.672,140,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 30 2015,2015-01-30,10.542,165,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Jan 31 2015,2015-01-31,11.281,164,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 01 2015,2015-02-01,10.936,153,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 02 2015,2015-02-02,10.993,120,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 03 2015,2015-02-03,10.864,115,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 04 2015,2015-02-04,10.768,119,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 05 2015,2015-02-05,10.649,131,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 06 2015,2015-02-06,10.303,147,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 07 2015,2015-02-07,11.002,176,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 08 2015,2015-02-08,10.144,128,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 09 2015,2015-02-09,10.351,127,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 10 2015,2015-02-10,10.736,107,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 11 2015,2015-02-11,10.063,116,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 12 2015,2015-02-12,9.943,131,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 13 2015,2015-02-13,9.642,144,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 14 2015,2015-02-14,10.243,139,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 15 2015,2015-02-15,9.909,161,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 16 2015,2015-02-16,9.386,155,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 17 2015,2015-02-17,9.726,147,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 18 2015,2015-02-18,9.678,127,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 19 2015,2015-02-19,9.955,113,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 20 2015,2015-02-20,9.501,146,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 21 2015,2015-02-21,9.121,139,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 22 2015,2015-02-22,9.188,132,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 23 2015,2015-02-23,9.339,130,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 24 2015,2015-02-24,9.496,123,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 25 2015,2015-02-25,9.712,111,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 26 2015,2015-02-26,9.457,124,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 27 2015,2015-02-27,9.665,167,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Feb 28 2015,2015-02-28,9.478,159,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 01 2015,2015-03-01,9.408,137,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 02 2015,2015-03-02,9.429,125,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 03 2015,2015-03-03,9.647,110,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 04 2015,2015-03-04,9.545,103,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 05 2015,2015-03-05,9.381,92,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 06 2015,2015-03-06,9.137,150,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 07 2015,2015-03-07,9.171,159,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 08 2015,2015-03-08,8.54,147,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 09 2015,2015-03-09,8.251,139,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 10 2015,2015-03-10,8.202,125,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 11 2015,2015-03-11,8.317,113,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 12 2015,2015-03-12,8.143,132,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 13 2015,2015-03-13,7.961,151,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 14 2015,2015-03-14,7.576,190,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 15 2015,2015-03-15,7.405,193,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 16 2015,2015-03-16,6.816,170,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 17 2015,2015-03-17,7.416,124,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 18 2015,2015-03-18,7.321,132,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 19 2015,2015-03-19,7.521,117,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 20 2015,2015-03-20,7.873,152,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 21 2015,2015-03-21,7.8,155,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 22 2015,2015-03-22,7.482,160,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 23 2015,2015-03-23,7.42,130,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 24 2015,2015-03-24,7.491,127,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
Mar 25 2015,2015-03-25,7.559,146,M4A4 | Griffin,M4A4,Griffin,Minimal Wear,1,1,0
