date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
May 27 2015,2015-05-27,120.81,,,,12.887297285946147,10.44511731430015,13.063616153952317,2,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
May 28 2015,2015-05-28,97.43,16.53215654414148,16.53215654414148,16.53215654414148,12.887297285946147,10.44511731430015,13.063616153952317,1,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
May 29 2015,2015-05-29,78.464,21.211307016149043,24.104869665862402,21.211307016149043,12.887297285946147,10.44511731430015,13.063616153952317,14,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
May 30 2015,2015-05-30,77.109,20.461495829565678,26.118801732311788,20.461495829565678,12.887297285946147,10.44511731430015,13.063616153952317,10,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
May 31 2015,2015-05-31,91.375,17.744532490319383,24.229913853894363,17.744532490319383,12.887297285946147,10.44511731430015,13.063616153952317,2,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 01 2015,2015-06-01,104.934,16.59765451702941,21.77612300434611,16.59765451702941,12.887297285946147,10.44511731430015,13.063616153952317,2,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 02 2015,2015-06-02,126.273,19.212006280795702,20.361596773089623,19.212006280795702,12.887297285946147,10.44511731430015,13.063616153952317,1,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 03 2015,2015-06-03,92.825,17.942042653260767,19.85267874022727,17.942042653260767,12.887297285946147,10.44511731430015,13.063616153952317,3,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 04 2015,2015-06-04,82.639,17.611636705441224,20.53779942608025,17.611636705441224,12.887297285946147,10.44511731430015,13.063616153952317,5,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 05 2015,2015-06-05,57.795,20.698241166287,24.751637813798727,20.698241166287,12.887297285946147,10.44511731430015,13.063616153952317,11,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 06 2015,2015-06-06,63.801,21.515094875247684,26.429900189610134,21.515094875247684,12.887297285946147,10.44511731430015,13.063616153952317,14,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 07 2015,2015-06-07,57.696,22.571646081103747,28.2439278367151,22.571646081103747,12.887297285946147,10.44511731430015,13.063616153952317,7,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 08 2015,2015-06-08,74.518,21.91298488515253,27.808649495027932,21.91298488515253,12.887297285946147,10.44511731430015,13.063616153952317,5,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 09 2015,2015-06-09,81.0,21.10625531268339,26.946578351990958,21.10625531268339,12.887297285946147,10.44511731430015,13.063616153952317,8,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 10 2015,2015-06-10,84.197,20.345009586300684,25.98994698326488,20.345009586300684,12.887297285946147,10.44511731430015,13.063616153952317,7,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 11 2015,2015-06-11,85.565,19.65553259337347,25.04609122152466,19.65553259337347,12.887297285946147,10.44511731430015,13.063616153952317,8,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 12 2015,2015-06-12,72.751,19.301849428875983,24.796552781898736,19.301849428875983,12.887297285946147,10.44511731430015,13.063616153952317,9,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 13 2015,2015-06-13,74.155,18.907139389970254,24.399781748381955,18.907139389970254,12.887297285946147,10.44511731430015,13.063616153952317,7,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 14 2015,2015-06-14,63.391,19.009508153085452,24.71956963482627,19.009508153085452,12.887297285946147,10.44511731430015,13.063616153952317,5,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 15 2015,2015-06-15,64.911,18.964235792878522,24.75056725019552,18.964235792878522,12.887297285946147,10.44511731430015,13.063616153952317,8,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 16 2015,2015-06-16,71.067,18.654064724547816,24.300234165664765,18.654064724547816,12.887297285946147,10.44511731430015,13.063616153952317,3,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 17 2015,2015-06-17,84.234,18.210546676100208,23.42149028526446,18.210546676100208,12.887297285946147,10.44511731430015,13.063616153952317,1,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 18 2015,2015-06-18,58.142,18.48178071376724,23.854997538943305,18.48178071376724,12.887297285946147,10.44511731430015,13.063616153952317,11,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 19 2015,2015-06-19,70.136,18.213323224011564,23.364008302911905,18.213323224011564,12.887297285946147,10.44511731430015,13.063616153952317,10,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 20 2015,2015-06-20,65.095,18.098668082025632,23.11215763526779,18.098668082025632,12.887297285946147,10.44511731430015,13.063616153952317,7,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 21 2015,2015-06-21,58.318,18.236263940460884,23.233718842990385,18.236263940460884,12.887297285946147,10.44511731430015,13.063616153952317,7,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 22 2015,2015-06-22,58.386,18.324357021947765,23.230874621340437,18.324357021947765,12.887297285946147,10.44511731430015,13.063616153952317,9,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 23 2015,2015-06-23,69.849,18.05441810751757,22.59513148892949,18.05441810751757,12.887297285946147,10.44511731430015,13.063616153952317,4,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 24 2015,2015-06-24,72.867,17.755721597093647,21.892453493304192,17.755721597093647,12.887297285946147,10.44511731430015,13.063616153952317,4,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 25 2015,2015-06-25,64.944,17.60705977076424,21.46507737349786,17.60705977076424,12.887297285946147,10.44511731430015,13.063616153952317,8,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 26 2015,2015-06-26,62.563,15.782204341759668,21.12834227734224,17.51747094373261,12.887297285946147,10.44511731430015,13.063616153952317,9,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 27 2015,2015-06-27,66.841,15.300485918547764,20.59229033068556,17.326081595404226,12.887297285946147,10.44511731430015,13.063616153952317,11,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 28 2015,2015-06-28,67.843,15.329123577529563,20.02821299737023,17.122613293426102,12.887297285946147,10.44511731430015,13.063616153952317,7,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 29 2015,2015-06-29,61.758,15.48321291648609,19.699307540260325,17.047696925911094,12.887297285946147,10.44511731430015,13.063616153952317,13,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jun 30 2015,2015-06-30,72.116,15.118445288918544,19.056567818305123,16.80788940794114,12.887297285946147,10.44511731430015,13.063616153952317,6,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 01 2015,2015-07-01,73.865,13.869477155324542,18.422196927545876,16.569440194847715,12.887297285946147,10.44511731430015,13.063616153952317,2,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 02 2015,2015-07-02,73.426,9.35925471440947,17.81255415745922,16.34244393105388,12.887297285946147,10.44511731430015,13.063616153952317,4,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 03 2015,2015-07-03,66.925,8.341724763356,17.338400733381306,16.18366353824756,12.887297285946147,10.44511731430015,13.063616153952317,14,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 04 2015,2015-07-04,65.978,7.973648936181715,16.897365287852796,16.042333152497132,12.887297285946147,10.44511731430015,13.063616153952317,7,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 05 2015,2015-07-05,65.504,7.727018261515474,16.472874227197906,15.910616784125063,12.887297285946147,10.44511731430015,13.063616153952317,7,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 06 2015,2015-07-06,62.687,7.7557927758295415,16.151350957952566,15.828434390208086,12.887297285946147,10.44511731430015,13.063616153952317,11,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 07 2015,2015-07-07,62.218,7.5697477523681895,15.836106765086505,15.753084828681283,12.887297285946147,10.44511731430015,13.063616153952317,8,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 08 2015,2015-07-08,65.45,7.529982304935662,15.400962088767374,15.624655790210845,12.887297285946147,10.44511731430015,13.063616153952317,8,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 09 2015,2015-07-09,61.633,7.2804860205485475,15.100014306331886,15.558225293771613,12.887297285946147,10.44511731430015,13.063616153952317,9,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 10 2015,2015-07-10,60.871,6.74178860174177,14.818448704901712,15.503361336409364,12.887297285946147,10.44511731430015,13.063616153952317,6,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 11 2015,2015-07-11,61.009,5.905330837472236,14.517572840191605,15.443059680630551,12.887297285946147,10.44511731430015,13.063616153952317,11,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 12 2015,2015-07-12,53.67,6.241451593612085,14.60127122338287,15.542428149954072,12.887297285946147,10.44511731430015,13.063616153952317,13,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 13 2015,2015-07-13,56.189,6.293212037721651,14.461636701342782,15.565532011270381,12.887297285946147,10.44511731430015,13.063616153952317,12,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 14 2015,2015-07-14,51.125,6.805581326778989,14.599044084760099,15.705337936369858,12.887297285946147,10.44511731430015,13.063616153952317,8,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 15 2015,2015-07-15,50.349,7.311702381767247,14.705026641674639,15.847626061080465,12.887297285946147,10.44511731430015,13.063616153952317,10,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 16 2015,2015-07-16,52.86,7.5011572508713265,14.58085063540792,15.909403591611607,12.887297285946147,10.44511731430015,13.063616153952317,11,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 17 2015,2015-07-17,57.337,6.531020740484933,14.227657854891639,15.872300018232337,12.887297285946147,10.44511731430015,13.063616153952317,12,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 18 2015,2015-07-18,48.33,7.010686899298863,14.335233299525125,16.0269321400184,12.887297285946147,10.44511731430015,13.063616153952317,13,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 19 2015,2015-07-19,51.015,7.17588517420214,14.204214063084773,16.09864027941217,12.887297285946147,10.44511731430015,13.063616153952317,11,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
Jul 20 2015,2015-07-20,48.178,7.580344727550754,14.201188628727433,16.225452105637096,12.887297285946147,10.44511731430015,13.063616153952317,13,AWP | Hyper Beast,AWP,Hyper Beast,Battle-Scarred,1,1,0
