date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Dec 28 2014,2014-12-28,2.765,710,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Dec 29 2014,2014-12-29,2.72,670,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Dec 30 2014,2014-12-30,2.81,665,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Dec 31 2014,2014-12-31,2.782,624,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 01 2015,2015-01-01,2.74,591,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 02 2015,2015-01-02,2.653,768,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 03 2015,2015-01-03,2.794,703,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 04 2015,2015-01-04,2.761,697,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 05 2015,2015-01-05,2.696,673,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 06 2015,2015-01-06,2.748,643,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 07 2015,2015-01-07,2.826,534,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 08 2015,2015-01-08,2.856,668,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 09 2015,2015-01-09,2.796,948,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 10 2015,2015-01-10,3.016,947,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 11 2015,2015-01-11,3.035,966,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 12 2015,2015-01-12,3.034,832,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 13 2015,2015-01-13,3.072,794,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 14 2015,2015-01-14,3.07,801,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 15 2015,2015-01-15,2.996,789,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 16 2015,2015-01-16,2.947,837,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 17 2015,2015-01-17,2.778,837,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 18 2015,2015-01-18,2.806,824,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 19 2015,2015-01-19,2.682,740,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 20 2015,2015-01-20,2.707,705,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 21 2015,2015-01-21,2.723,646,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 22 2015,2015-01-22,2.699,658,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 23 2015,2015-01-23,2.73,820,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 24 2015,2015-01-24,2.807,862,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 25 2015,2015-01-25,2.613,865,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 26 2015,2015-01-26,2.581,761,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 27 2015,2015-01-27,2.629,662,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 28 2015,2015-01-28,2.623,654,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 29 2015,2015-01-29,2.615,646,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 30 2015,2015-01-30,2.592,811,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Jan 31 2015,2015-01-31,2.627,861,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 01 2015,2015-02-01,2.538,965,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
Feb 02 2015,2015-02-02,2.506,677,M4A1-S | Basilisk,M4A1-S,Basilisk,Factory New,0,1,0
