date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jul 11 2014,2014-07-11,406.866,,,,18.869352870840498,21.31799738950605,16.04485304154357,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 12 2014,2014-07-12,390.71,11.424017156849885,11.42401715684987,11.424017156849885,18.869352870840498,21.31799738950605,16.04485304154357,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 15 2014,2014-07-15,130.703,154.98960123935197,142.29574485627558,154.98960123935197,18.869352870840498,21.31799738950605,16.04485304154357,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 16 2014,2014-07-16,131.357,154.73102316600895,161.01544188780525,154.73102316600895,18.869352870840498,21.31799738950605,16.04485304154357,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 17 2014,2014-07-17,157.892,142.29123235568665,161.97209186093468,142.29123235568665,18.869352870840498,21.31799738950605,16.04485304154357,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 18 2014,2014-07-18,136.918,134.50249783256817,164.63256350541909,134.50249783256817,18.869352870840498,21.31799738950605,16.04485304154357,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 19 2014,2014-07-19,117.811,129.38274492226174,167.86185666514135,129.38274492226174,18.869352870840498,21.31799738950605,16.04485304154357,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 20 2014,2014-07-20,115.751,124.3641851384186,169.11070013701985,124.3641851384186,18.869352870840498,21.31799738950605,16.04485304154357,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 21 2014,2014-07-21,100.752,120.80892399156613,170.66714828857738,120.80892399156613,18.869352870840498,21.31799738950605,16.04485304154357,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 22 2014,2014-07-22,102.694,117.02450339442211,170.5820243628583,117.02450339442211,18.869352870840498,21.31799738950605,16.04485304154357,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 23 2014,2014-07-23,99.093,113.61268225198677,169.921514891913,113.61268225198677,18.869352870840498,21.31799738950605,16.04485304154357,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 24 2014,2014-07-24,98.179,110.39432066982212,168.61230541855429,110.39432066982212,18.869352870840498,21.31799738950605,16.04485304154357,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 25 2014,2014-07-25,94.835,107.50778012114715,167.02220342512314,107.50778012114715,18.869352870840498,21.31799738950605,16.04485304154357,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 26 2014,2014-07-26,116.638,103.94642130330287,163.47940560724496,103.94642130330287,18.869352870840498,21.31799738950605,16.04485304154357,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
Jul 27 2014,2014-07-27,124.613,100.51711628791435,159.43450252169796,100.51711628791435,18.869352870840498,21.31799738950605,16.04485304154357,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Minimal Wear,1,1,0
