date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Nov 12 2014,2014-11-12,15.247,,,,7.6502338826898635,1.7633508365443018,8.587032950152782,620,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,0
Sep 23 2023,2023-09-23,6.533,0.5558032863375484,0.5411244799491681,2.430143092697522,7.6502338826898635,1.7633508365443018,8.587032950152782,23,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Sep 24 2023,2023-09-24,6.917,0.5643725068046382,0.5571270363380297,2.4298088501611934,7.6502338826898635,1.7633508365443018,8.587032950152782,18,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Sep 25 2023,2023-09-25,7.173,0.5773857691673311,0.5909516698524467,2.4295050365180417,7.6502338826898635,1.7633508365443018,8.587032950152782,14,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Sep 26 2023,2023-09-26,6.438,0.5541247587646941,0.5732087803476911,2.429136757256432,7.6502338826898635,1.7633508365443018,8.587032950152782,13,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Sep 27 2023,2023-09-27,6.98,0.5452595459173188,0.5816564542301318,2.428809604616275,7.6502338826898635,1.7633508365443018,8.587032950152782,22,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Sep 28 2023,2023-09-28,6.872,0.5303744892533403,0.5791638243901702,2.4284714481136374,7.6502338826898635,1.7633508365443018,8.587032950152782,31,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Sep 29 2023,2023-09-29,7.138,0.5306235585796265,0.5932019380242939,2.4281635042021086,7.6502338826898635,1.7633508365443018,8.587032950152782,29,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Sep 30 2023,2023-09-30,7.259,0.5078922695527365,0.6119498227372521,2.427872314618084,7.6502338826898635,1.7633508365443018,8.587032950152782,34,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 01 2023,2023-10-01,7.095,0.4841055456308151,0.6126372638804028,2.4275591179932547,7.6502338826898635,1.7633508365443018,8.587032950152782,51,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 02 2023,2023-10-02,7.754,0.5109915715616647,0.6699389297433762,2.427355494184046,7.6502338826898635,1.7633508365443018,8.587032950152782,37,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 03 2023,2023-10-03,7.874,0.5371533482539155,0.7237433887442125,2.427177721665839,7.6502338826898635,1.7633508365443018,8.587032950152782,38,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 04 2023,2023-10-04,8.26,0.5964182594706893,0.8052670016902793,2.4270954051622486,7.6502338826898635,1.7633508365443018,8.587032950152782,24,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 05 2023,2023-10-05,6.643,0.5616982674695746,0.7795011933664149,2.4267393942476447,7.6502338826898635,1.7633508365443018,8.587032950152782,37,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 06 2023,2023-10-06,7.136,0.5565331686577651,0.759719711623279,2.4264318013306605,7.6502338826898635,1.7633508365443018,8.587032950152782,31,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 07 2023,2023-10-07,7.119,0.5561266745635204,0.7395078185029911,2.4261221422060384,7.6502338826898635,1.7633508365443018,8.587032950152782,31,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 08 2023,2023-10-08,7.344,0.5593736737608516,0.7277217213646833,2.4258443465247463,7.6502338826898635,1.7633508365443018,8.587032950152782,36,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 09 2023,2023-10-09,7.38,0.5589706477603549,0.716584657530629,2.425572304055238,7.6502338826898635,1.7633508365443018,8.587032950152782,23,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 10 2023,2023-10-10,7.487,0.5586876823744557,0.7096684681234601,2.425318157467362,7.6502338826898635,1.7633508365443018,8.587032950152782,28,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 11 2023,2023-10-11,7.516,0.5606697718832423,0.7025787216261462,2.4250691448245583,7.6502338826898635,1.7633508365443018,8.587032950152782,28,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 12 2023,2023-10-12,7.734,0.544994764290086,0.706888099024656,2.4248617393991636,7.6502338826898635,1.7633508365443018,8.587032950152782,24,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
Oct 13 2023,2023-10-13,7.6,0.5331248252618729,0.6996856075445003,2.424628100630101,7.6502338826898635,1.7633508365443018,8.587032950152782,35,M4A4 | Griffin,M4A4,Griffin,Factory New,0,1,1
