date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Jan 22 2014,2014-01-22,27.079,10.606999000915325,13.129596766469724,10.606999000915325,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 23 2014,2014-01-23,27.979,10.578821196742274,12.908599374475154,10.578821196742274,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 24 2014,2014-01-24,28.286,9.672722991193728,12.658446805852858,10.533878793009078,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 26 2014,2014-01-26,25.304,9.317056612816984,12.543693946354995,10.576362178530553,18.597966089647294,5.31875064408754,24.218389348126163,6,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 28 2014,2014-01-28,23.402,9.157649068640255,12.507109786550798,10.671623127091147,18.597966089647294,5.31875064408754,24.218389348126163,7,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 29 2014,2014-01-29,24.97,8.943252719229168,12.340366186157544,10.692769477790554,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 30 2014,2014-01-30,24.644,8.769401264244511,12.167665037794754,10.712393710326463,18.597966089647294,5.31875064408754,24.218389348126163,6,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Jan 31 2014,2014-01-31,24.728,8.171675255937771,11.97073066451217,10.718923174268625,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 01 2014,2014-02-01,23.966,7.110260027981896,11.79352887208064,10.738145054021254,18.597966089647294,5.31875064408754,24.218389348126163,7,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 02 2014,2014-02-02,25.403,6.745030276169015,11.537468034347897,10.710645874174112,18.597966089647294,5.31875064408754,24.218389348126163,10,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 03 2014,2014-02-03,20.7,6.946040814654809,11.50847142300858,10.812083018536716,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 04 2014,2014-02-04,22.44,7.001662693829288,11.344825906243482,10.843763864219316,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 05 2014,2014-02-05,24.387,7.015464621639193,11.082609363778463,10.818143025074844,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 06 2014,2014-02-06,26.495,6.745897752597917,10.758163259736435,10.748532672377904,18.597966089647294,5.31875064408754,24.218389348126163,3,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 07 2014,2014-02-07,26.907,6.740473778157057,10.432374615871227,10.672519009326223,18.597966089647294,5.31875064408754,24.218389348126163,2,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 08 2014,2014-02-08,27.411,4.627980029561804,10.106367136689569,10.590117474124186,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 09 2014,2014-02-09,22.774,4.022608957255029,9.925128256549154,10.591609557960618,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 10 2014,2014-02-10,23.0,2.7811128749096823,9.724338759605677,10.58301796770802,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 11 2014,2014-02-11,18.242,3.0678915474844173,9.770750870967218,10.688961205173229,18.597966089647294,5.31875064408754,24.218389348126163,4,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 12 2014,2014-02-12,20.232,2.9487811643410087,9.654834989884955,10.728385980720942,18.597966089647294,5.31875064408754,24.218389348126163,5,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
Feb 13 2014,2014-02-13,19.81,2.988168689940402,9.540636269631499,10.769942502167774,18.597966089647294,5.31875064408754,24.218389348126163,1,AK-47 | Blue Laminate,AK-47,Blue Laminate,Well-Worn,1,1,0
