date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Sep 04 2014,2014-09-04,169.267,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 05 2014,2014-09-05,181.61,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 06 2014,2014-09-06,200.178,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 07 2014,2014-09-07,211.88,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 08 2014,2014-09-08,179.28,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 10 2014,2014-09-10,184.0,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 11 2014,2014-09-11,165.976,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 12 2014,2014-09-12,177.504,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 13 2014,2014-09-13,167.397,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 14 2014,2014-09-14,161.534,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 16 2014,2014-09-16,182.21,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 17 2014,2014-09-17,144.763,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 18 2014,2014-09-18,154.484,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 19 2014,2014-09-19,159.87,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 20 2014,2014-09-20,134.417,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 21 2014,2014-09-21,136.627,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 22 2014,2014-09-22,147.787,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 23 2014,2014-09-23,146.116,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 24 2014,2014-09-24,133.7,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 25 2014,2014-09-25,141.72,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 27 2014,2014-09-27,130.659,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 28 2014,2014-09-28,143.007,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 29 2014,2014-09-29,135.397,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Sep 30 2014,2014-09-30,133.421,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 01 2014,2014-10-01,122.545,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 02 2014,2014-10-02,127.842,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 04 2014,2014-10-04,127.628,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 06 2014,2014-10-06,113.612,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 07 2014,2014-10-07,91.274,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 08 2014,2014-10-08,113.594,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 09 2014,2014-10-09,101.873,6,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 10 2014,2014-10-10,102.034,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 11 2014,2014-10-11,102.435,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 12 2014,2014-10-12,96.885,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 13 2014,2014-10-13,93.801,8,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 14 2014,2014-10-14,95.9,5,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 15 2014,2014-10-15,96.86,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 16 2014,2014-10-16,101.802,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 17 2014,2014-10-17,99.525,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 18 2014,2014-10-18,110.308,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 21 2014,2014-10-21,102.416,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 22 2014,2014-10-22,92.65,1,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 23 2014,2014-10-23,98.213,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 24 2014,2014-10-24,96.317,4,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 25 2014,2014-10-25,102.338,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 26 2014,2014-10-26,120.705,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 27 2014,2014-10-27,100.461,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 28 2014,2014-10-28,88.052,7,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 29 2014,2014-10-29,96.097,2,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
Oct 30 2014,2014-10-30,104.342,3,M4A4 | Bullet Rain,M4A4,Bullet Rain,Factory New,1,1,0
