date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 06 2016,2016-04-06,21.468,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 07 2016,2016-04-07,23.171,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 08 2016,2016-04-08,23.97,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 09 2016,2016-04-09,24.11,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 10 2016,2016-04-10,23.953,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 11 2016,2016-04-11,21.631,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 12 2016,2016-04-12,21.814,23,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 13 2016,2016-04-13,22.445,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 14 2016,2016-04-14,21.331,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 15 2016,2016-04-15,20.596,21,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 16 2016,2016-04-16,20.954,21,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 17 2016,2016-04-17,20.141,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 18 2016,2016-04-18,20.797,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 19 2016,2016-04-19,19.967,25,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 20 2016,2016-04-20,21.193,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 21 2016,2016-04-21,20.971,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 22 2016,2016-04-22,21.261,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 23 2016,2016-04-23,20.08,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 24 2016,2016-04-24,20.631,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 25 2016,2016-04-25,20.178,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 26 2016,2016-04-26,22.147,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 27 2016,2016-04-27,22.959,14,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 28 2016,2016-04-28,20.459,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 29 2016,2016-04-29,20.016,19,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Apr 30 2016,2016-04-30,20.017,30,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 01 2016,2016-05-01,20.934,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 02 2016,2016-05-02,19.813,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 03 2016,2016-05-03,21.039,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 04 2016,2016-05-04,19.574,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 05 2016,2016-05-05,19.368,19,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 06 2016,2016-05-06,20.804,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 07 2016,2016-05-07,20.394,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 08 2016,2016-05-08,20.725,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 09 2016,2016-05-09,23.56,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 10 2016,2016-05-10,20.946,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 11 2016,2016-05-11,20.618,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 12 2016,2016-05-12,19.564,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 13 2016,2016-05-13,19.642,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 14 2016,2016-05-14,19.272,26,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 15 2016,2016-05-15,19.154,20,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 16 2016,2016-05-16,18.08,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 17 2016,2016-05-17,18.627,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 18 2016,2016-05-18,19.726,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 19 2016,2016-05-19,17.541,11,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 20 2016,2016-05-20,16.388,19,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 21 2016,2016-05-21,18.711,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 22 2016,2016-05-22,18.985,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 23 2016,2016-05-23,18.276,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 24 2016,2016-05-24,18.677,9,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 25 2016,2016-05-25,17.171,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 26 2016,2016-05-26,16.799,12,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 27 2016,2016-05-27,16.114,13,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 28 2016,2016-05-28,16.038,24,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 29 2016,2016-05-29,17.412,18,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 30 2016,2016-05-30,18.861,17,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
May 31 2016,2016-05-31,18.089,15,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 01 2016,2016-06-01,17.094,23,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 02 2016,2016-06-02,17.105,27,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 03 2016,2016-06-03,16.95,16,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
Jun 04 2016,2016-06-04,17.875,24,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,1,1,0
