date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Apr 09 2014,2014-04-09,4.664,35,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 10 2014,2014-04-10,4.725,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 11 2014,2014-04-11,4.701,33,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 12 2014,2014-04-12,4.599,35,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 13 2014,2014-04-13,4.671,29,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 14 2014,2014-04-14,4.397,35,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 15 2014,2014-04-15,4.495,32,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 16 2014,2014-04-16,4.027,37,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 17 2014,2014-04-17,4.265,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 18 2014,2014-04-18,4.091,44,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 19 2014,2014-04-19,4.269,39,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 20 2014,2014-04-20,4.241,51,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 21 2014,2014-04-21,4.27,41,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 22 2014,2014-04-22,4.259,35,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 23 2014,2014-04-23,4.179,49,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 24 2014,2014-04-24,4.415,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 25 2014,2014-04-25,4.721,42,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 26 2014,2014-04-26,4.587,52,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
Apr 27 2014,2014-04-27,4.416,57,USP-S | Stainless,USP-S,Stainless,Battle-Scarred,1,1,0
