date,py_date,median_price,volume_sold,item,treated_unit,post_treat
Feb 27 2015,2015-02-27,1.323,107,Armature of the Belligerent Ram Sword,0,0
Feb 28 2015,2015-02-28,0.623,198,Armature of the Belligerent Ram Sword,0,0
Mar 01 2015,2015-03-01,0.538,233,Armature of the Belligerent Ram Sword,0,0
Mar 02 2015,2015-03-02,0.6,144,Armature of the Belligerent Ram Sword,0,0
Mar 03 2015,2015-03-03,0.698,133,Armature of the Belligerent Ram Sword,0,0
Mar 04 2015,2015-03-04,0.712,126,Armature of the Belligerent Ram Sword,0,0
Mar 05 2015,2015-03-05,0.667,123,Armature of the Belligerent Ram Sword,0,0
Mar 06 2015,2015-03-06,0.614,139,Armature of the Belligerent Ram Sword,0,0
Mar 07 2015,2015-03-07,0.606,144,Armature of the Belligerent Ram Sword,0,0
Mar 08 2015,2015-03-08,0.582,163,Armature of the Belligerent Ram Sword,0,0
Mar 09 2015,2015-03-09,0.572,126,Armature of the Belligerent Ram Sword,0,0
Mar 10 2015,2015-03-10,0.574,119,Armature of the Belligerent Ram Sword,0,0
Mar 11 2015,2015-03-11,0.575,82,Armature of the Belligerent Ram Sword,0,0
Mar 12 2015,2015-03-12,0.511,113,Armature of the Belligerent Ram Sword,0,0
Mar 13 2015,2015-03-13,0.58,121,Armature of the Belligerent Ram Sword,0,0
Mar 14 2015,2015-03-14,0.522,118,Armature of the Belligerent Ram Sword,0,0
Mar 15 2015,2015-03-15,0.417,149,Armature of the Belligerent Ram Sword,0,0
Mar 16 2015,2015-03-16,0.44,112,Armature of the Belligerent Ram Sword,0,0
Mar 17 2015,2015-03-17,0.474,107,Armature of the Belligerent Ram Sword,0,0
Mar 18 2015,2015-03-18,0.442,82,Armature of the Belligerent Ram Sword,0,0
Mar 19 2015,2015-03-19,0.43,91,Armature of the Belligerent Ram Sword,0,0
Mar 20 2015,2015-03-20,0.41,124,Armature of the Belligerent Ram Sword,0,0
Mar 21 2015,2015-03-21,0.409,134,Armature of the Belligerent Ram Sword,0,0
Mar 22 2015,2015-03-22,0.4,118,Armature of the Belligerent Ram Sword,0,0
Mar 23 2015,2015-03-23,0.375,103,Armature of the Belligerent Ram Sword,0,0
Mar 24 2015,2015-03-24,0.416,111,Armature of the Belligerent Ram Sword,0,0
Mar 25 2015,2015-03-25,0.397,82,Armature of the Belligerent Ram Sword,0,0
Mar 26 2015,2015-03-26,0.378,95,Armature of the Belligerent Ram Sword,0,0
Mar 27 2015,2015-03-27,0.37,101,Armature of the Belligerent Ram Sword,0,0
Mar 28 2015,2015-03-28,0.339,115,Armature of the Belligerent Ram Sword,0,0
Mar 29 2015,2015-03-29,0.342,105,Armature of the Belligerent Ram Sword,0,0
Mar 30 2015,2015-03-30,0.357,90,Armature of the Belligerent Ram Sword,0,0
Mar 31 2015,2015-03-31,0.322,98,Armature of the Belligerent Ram Sword,0,0
Apr 01 2015,2015-04-01,0.384,94,Armature of the Belligerent Ram Sword,0,0
Apr 02 2015,2015-04-02,0.383,87,Armature of the Belligerent Ram Sword,0,0
Apr 03 2015,2015-04-03,0.334,83,Armature of the Belligerent Ram Sword,0,0
Apr 04 2015,2015-04-04,0.399,104,Armature of the Belligerent Ram Sword,0,0
Apr 05 2015,2015-04-05,0.358,101,Armature of the Belligerent Ram Sword,0,0
Apr 06 2015,2015-04-06,0.34,87,Armature of the Belligerent Ram Sword,0,0
Apr 07 2015,2015-04-07,0.411,92,Armature of the Belligerent Ram Sword,0,0
Apr 08 2015,2015-04-08,0.435,80,Armature of the Belligerent Ram Sword,0,0
Apr 09 2015,2015-04-09,0.409,71,Armature of the Belligerent Ram Sword,0,0
Apr 10 2015,2015-04-10,0.418,65,Armature of the Belligerent Ram Sword,0,0
Apr 11 2015,2015-04-11,0.324,95,Armature of the Belligerent Ram Sword,0,0
Apr 12 2015,2015-04-12,0.308,81,Armature of the Belligerent Ram Sword,0,0
Apr 13 2015,2015-04-13,0.323,86,Armature of the Belligerent Ram Sword,0,0
Apr 14 2015,2015-04-14,0.314,86,Armature of the Belligerent Ram Sword,0,0
Apr 15 2015,2015-04-15,0.383,62,Armature of the Belligerent Ram Sword,0,0
Apr 16 2015,2015-04-16,0.315,82,Armature of the Belligerent Ram Sword,0,0
Apr 17 2015,2015-04-17,0.306,76,Armature of the Belligerent Ram Sword,0,0
Apr 18 2015,2015-04-18,0.317,93,Armature of the Belligerent Ram Sword,0,0
Apr 19 2015,2015-04-19,0.303,87,Armature of the Belligerent Ram Sword,0,0
Apr 20 2015,2015-04-20,0.33,88,Armature of the Belligerent Ram Sword,0,0
Apr 21 2015,2015-04-21,0.332,75,Armature of the Belligerent Ram Sword,0,0
Apr 22 2015,2015-04-22,0.331,57,Armature of the Belligerent Ram Sword,0,0
Apr 23 2015,2015-04-23,0.34,87,Armature of the Belligerent Ram Sword,0,0
Apr 24 2015,2015-04-24,0.366,88,Armature of the Belligerent Ram Sword,0,0
Apr 25 2015,2015-04-25,0.344,95,Armature of the Belligerent Ram Sword,0,0
Apr 26 2015,2015-04-26,0.322,112,Armature of the Belligerent Ram Sword,0,0
Apr 27 2015,2015-04-27,0.383,106,Armature of the Belligerent Ram Sword,0,0
Apr 28 2015,2015-04-28,0.375,59,Armature of the Belligerent Ram Sword,0,0
Apr 29 2015,2015-04-29,0.395,59,Armature of the Belligerent Ram Sword,0,0
Apr 30 2015,2015-04-30,0.329,74,Armature of the Belligerent Ram Sword,0,0
May 01 2015,2015-05-01,0.267,98,Armature of the Belligerent Ram Sword,0,0
May 02 2015,2015-05-02,0.196,109,Armature of the Belligerent Ram Sword,0,0
May 03 2015,2015-05-03,0.215,97,Armature of the Belligerent Ram Sword,0,0
May 04 2015,2015-05-04,0.257,79,Armature of the Belligerent Ram Sword,0,0
May 05 2015,2015-05-05,0.259,77,Armature of the Belligerent Ram Sword,0,0
May 06 2015,2015-05-06,0.308,66,Armature of the Belligerent Ram Sword,0,0
May 07 2015,2015-05-07,0.28,68,Armature of the Belligerent Ram Sword,0,0
May 08 2015,2015-05-08,0.255,86,Armature of the Belligerent Ram Sword,0,0
May 09 2015,2015-05-09,0.296,92,Armature of the Belligerent Ram Sword,0,0
May 10 2015,2015-05-10,0.323,106,Armature of the Belligerent Ram Sword,0,0
May 11 2015,2015-05-11,0.31,70,Armature of the Belligerent Ram Sword,0,0
May 12 2015,2015-05-12,0.299,79,Armature of the Belligerent Ram Sword,0,0
May 13 2015,2015-05-13,0.34,67,Armature of the Belligerent Ram Sword,0,0
May 14 2015,2015-05-14,0.357,65,Armature of the Belligerent Ram Sword,0,0
May 15 2015,2015-05-15,0.346,67,Armature of the Belligerent Ram Sword,0,0
May 16 2015,2015-05-16,0.307,130,Armature of the Belligerent Ram Sword,0,0
May 17 2015,2015-05-17,0.38,97,Armature of the Belligerent Ram Sword,0,0
May 18 2015,2015-05-18,0.365,53,Armature of the Belligerent Ram Sword,0,0
May 19 2015,2015-05-19,0.329,94,Armature of the Belligerent Ram Sword,0,0
May 20 2015,2015-05-20,0.398,91,Armature of the Belligerent Ram Sword,0,0
May 21 2015,2015-05-21,0.377,60,Armature of the Belligerent Ram Sword,0,0
May 22 2015,2015-05-22,0.372,75,Armature of the Belligerent Ram Sword,0,0
May 23 2015,2015-05-23,0.372,79,Armature of the Belligerent Ram Sword,0,0
May 24 2015,2015-05-24,0.352,71,Armature of the Belligerent Ram Sword,0,0
May 25 2015,2015-05-25,0.384,61,Armature of the Belligerent Ram Sword,0,0
May 26 2015,2015-05-26,0.32,59,Armature of the Belligerent Ram Sword,0,0
May 27 2015,2015-05-27,0.337,85,Armature of the Belligerent Ram Sword,0,0
May 28 2015,2015-05-28,0.361,95,Armature of the Belligerent Ram Sword,0,0
May 29 2015,2015-05-29,0.5,196,Armature of the Belligerent Ram Sword,0,0
May 30 2015,2015-05-30,0.531,124,Armature of the Belligerent Ram Sword,0,0
May 31 2015,2015-05-31,0.518,109,Armature of the Belligerent Ram Sword,0,0
Jun 01 2015,2015-06-01,0.537,102,Armature of the Belligerent Ram Sword,0,0
Jun 02 2015,2015-06-02,0.49,89,Armature of the Belligerent Ram Sword,0,0
Jun 03 2015,2015-06-03,0.467,99,Armature of the Belligerent Ram Sword,0,0
Jun 04 2015,2015-06-04,0.486,94,Armature of the Belligerent Ram Sword,0,0
Jun 05 2015,2015-06-05,0.311,166,Armature of the Belligerent Ram Sword,0,0
Jun 06 2015,2015-06-06,0.311,101,Armature of the Belligerent Ram Sword,0,0
Jun 07 2015,2015-06-07,0.303,88,Armature of the Belligerent Ram Sword,0,0
Jun 08 2015,2015-06-08,0.29,81,Armature of the Belligerent Ram Sword,0,0
Jun 09 2015,2015-06-09,0.296,73,Armature of the Belligerent Ram Sword,0,0
Jun 10 2015,2015-06-10,0.315,75,Armature of the Belligerent Ram Sword,0,0
Jun 11 2015,2015-06-11,0.295,94,Armature of the Belligerent Ram Sword,0,0
Jun 12 2015,2015-06-12,0.301,95,Armature of the Belligerent Ram Sword,0,0
Jun 13 2015,2015-06-13,0.29,90,Armature of the Belligerent Ram Sword,0,0
Jun 14 2015,2015-06-14,0.29,76,Armature of the Belligerent Ram Sword,0,0
Jun 15 2015,2015-06-15,0.33,73,Armature of the Belligerent Ram Sword,0,0
Jun 16 2015,2015-06-16,0.292,74,Armature of the Belligerent Ram Sword,0,0
Jun 17 2015,2015-06-17,0.287,63,Armature of the Belligerent Ram Sword,0,0
Jun 18 2015,2015-06-18,0.322,64,Armature of the Belligerent Ram Sword,0,0
Jun 19 2015,2015-06-19,0.359,64,Armature of the Belligerent Ram Sword,0,0
Jun 20 2015,2015-06-20,0.302,69,Armature of the Belligerent Ram Sword,0,0
Jun 21 2015,2015-06-21,0.28,68,Armature of the Belligerent Ram Sword,0,0
Jun 22 2015,2015-06-22,0.327,80,Armature of the Belligerent Ram Sword,0,0
Jun 23 2015,2015-06-23,0.3,61,Armature of the Belligerent Ram Sword,0,0
Jun 24 2015,2015-06-24,0.329,55,Armature of the Belligerent Ram Sword,0,0
Jun 25 2015,2015-06-25,0.355,55,Armature of the Belligerent Ram Sword,0,0
Jun 26 2015,2015-06-26,0.304,69,Armature of the Belligerent Ram Sword,0,0
Jun 27 2015,2015-06-27,0.369,75,Armature of the Belligerent Ram Sword,0,0
Jun 28 2015,2015-06-28,0.362,63,Armature of the Belligerent Ram Sword,0,0
Jun 29 2015,2015-06-29,0.351,77,Armature of the Belligerent Ram Sword,0,0
Jun 30 2015,2015-06-30,0.363,66,Armature of the Belligerent Ram Sword,0,0
Jul 01 2015,2015-07-01,0.317,52,Armature of the Belligerent Ram Sword,0,0
Jul 02 2015,2015-07-02,0.34,56,Armature of the Belligerent Ram Sword,0,0
Jul 03 2015,2015-07-03,0.345,63,Armature of the Belligerent Ram Sword,0,0
Jul 04 2015,2015-07-04,0.326,53,Armature of the Belligerent Ram Sword,0,0
Jul 05 2015,2015-07-05,0.369,58,Armature of the Belligerent Ram Sword,0,0
Jul 06 2015,2015-07-06,0.365,53,Armature of the Belligerent Ram Sword,0,0
Jul 07 2015,2015-07-07,0.345,57,Armature of the Belligerent Ram Sword,0,0
Jul 08 2015,2015-07-08,0.355,60,Armature of the Belligerent Ram Sword,0,0
Jul 09 2015,2015-07-09,0.376,62,Armature of the Belligerent Ram Sword,0,0
Jul 10 2015,2015-07-10,0.975,42,Armature of the Belligerent Ram Sword,0,0
Jul 11 2015,2015-07-11,0.283,66,Armature of the Belligerent Ram Sword,0,0
Jul 12 2015,2015-07-12,0.313,71,Armature of the Belligerent Ram Sword,0,0
Jul 13 2015,2015-07-13,0.308,63,Armature of the Belligerent Ram Sword,0,0
Jul 14 2015,2015-07-14,0.333,63,Armature of the Belligerent Ram Sword,0,0
Jul 15 2015,2015-07-15,0.322,59,Armature of the Belligerent Ram Sword,0,0
Jul 16 2015,2015-07-16,0.28,68,Armature of the Belligerent Ram Sword,0,0
Jul 17 2015,2015-07-17,0.307,47,Armature of the Belligerent Ram Sword,0,0
Jul 18 2015,2015-07-18,0.357,75,Armature of the Belligerent Ram Sword,0,0
Jul 19 2015,2015-07-19,0.316,59,Armature of the Belligerent Ram Sword,0,0
Jul 20 2015,2015-07-20,0.325,61,Armature of the Belligerent Ram Sword,0,0
Jul 21 2015,2015-07-21,0.316,70,Armature of the Belligerent Ram Sword,0,0
Jul 22 2015,2015-07-22,0.339,45,Armature of the Belligerent Ram Sword,0,0
Jul 23 2015,2015-07-23,0.321,67,Armature of the Belligerent Ram Sword,0,0
Jul 24 2015,2015-07-24,0.352,51,Armature of the Belligerent Ram Sword,0,0
Jul 25 2015,2015-07-25,0.298,61,Armature of the Belligerent Ram Sword,0,0
Jul 26 2015,2015-07-26,0.367,64,Armature of the Belligerent Ram Sword,0,0
Jul 27 2015,2015-07-27,0.363,59,Armature of the Belligerent Ram Sword,0,0
Jul 28 2015,2015-07-28,0.353,65,Armature of the Belligerent Ram Sword,0,0
Jul 29 2015,2015-07-29,0.337,46,Armature of the Belligerent Ram Sword,0,0
Jul 30 2015,2015-07-30,0.385,29,Armature of the Belligerent Ram Sword,0,0
Jul 31 2015,2015-07-31,0.389,33,Armature of the Belligerent Ram Sword,0,0
Aug 01 2015,2015-08-01,0.278,88,Armature of the Belligerent Ram Sword,0,0
Aug 02 2015,2015-08-02,0.285,66,Armature of the Belligerent Ram Sword,0,0
Aug 03 2015,2015-08-03,0.291,52,Armature of the Belligerent Ram Sword,0,0
Aug 04 2015,2015-08-04,0.293,72,Armature of the Belligerent Ram Sword,0,0
Aug 05 2015,2015-08-05,0.316,66,Armature of the Belligerent Ram Sword,0,0
Aug 06 2015,2015-08-06,0.304,63,Armature of the Belligerent Ram Sword,0,0
Aug 07 2015,2015-08-07,0.319,69,Armature of the Belligerent Ram Sword,0,0
Aug 08 2015,2015-08-08,0.285,62,Armature of the Belligerent Ram Sword,0,0
Aug 09 2015,2015-08-09,0.263,59,Armature of the Belligerent Ram Sword,0,0
Aug 10 2015,2015-08-10,0.267,65,Armature of the Belligerent Ram Sword,0,0
Aug 11 2015,2015-08-11,0.282,49,Armature of the Belligerent Ram Sword,0,0
Aug 12 2015,2015-08-12,0.274,54,Armature of the Belligerent Ram Sword,0,0
Aug 13 2015,2015-08-13,0.3,64,Armature of the Belligerent Ram Sword,0,0
Aug 14 2015,2015-08-14,0.315,69,Armature of the Belligerent Ram Sword,0,0
